,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
195,rnfC,-1.04413630939684,3.93727733333965e-13,-2.24358702959161,8.68803075564449e-111
196,BACUNI_00761,-0.770679963780349,3.96165168358755e-13,-2.72626934295783,3.44754066281139e-144
197,BACUNI_01214,1.34021010077057,4.0212592642325597e-13,-0.739152479612551,1.07690202178318e-06
198,rplO,-1.02923590275433,4.0212592642325597e-13,-2.81550592355786,1.30559020502561e-292
199,BACUNI_01369,0.88301558294113,4.04550383344461e-13,1.54277099144264,2.7246210605813797e-160
200,atpA,0.674258533306826,4.13248693921764e-13,1.3244660494925,1.74548333545718e-109
201,atpA,1.05570352960257,6.49751720874877e-13,1.3244660494925,1.74548333545718e-109
202,leuA,-0.88294710940281,4.13248693921764e-13,-3.72031774549903,8.23496344775785e-293
203,rpmE2,-1.357542505368,4.17601096282118e-13,-1.86407248918601,9.10678545351716e-130
204,BACUNI_01430,2.36931426105505,4.22275796962276e-13,3.74313056521433,0.0
205,BACUNI_03545,1.59491587786448,4.36043043591693e-13,1.05955878930075,3.11496177591503e-53
206,BACUNI_03391,0.996617789767839,4.46764475603245e-13,1.52475145215505,4.41056967827445e-59
207,raiA,1.47791081160165,4.52448478453517e-13,0.519262482163271,1.2832619502766702e-09
208,BACUNI_04111,0.991261246093451,4.55334671978646e-13,0.681677065850862,1.8014977642241e-09
209,BACUNI_01490,1.49850658582301,4.67933557680915e-13,0.503007989991337,1.09867637631561e-07
210,BACUNI_00212,1.71654425419904,4.72739189759232e-13,2.7698761988589,1.3982010901655999e-108
211,zwf,0.865474449505026,4.72739189759232e-13,2.5065933960017,0.0
212,rpsO,-0.935958835435642,4.78278734210167e-13,-1.89768434258019,1.88065815824436e-226
213,leuC,-0.725767914935876,4.82076627148409e-13,-3.6540551866082,1.70804930613014e-277
214,BACUNI_01159,1.43688573064122,4.99357668422373e-13,-2.89496702312162,9.22539487418734e-239
215,rho,-0.876908517332851,5.09567222280143e-13,-1.42841944690903,2.74403396372353e-51
216,BACUNI_00884,1.76130146047454,5.10307131274722e-13,4.01547130201472,0.0
217,BACUNI_00766,2.62094029787287,5.12100736508626e-13,4.58177628975843,0.0
218,BACUNI_02410,-0.736084634893782,5.17796030248433e-13,-1.72957133019336,3.17336102336892e-155
219,BACUNI_00322,0.966806667374563,5.17796030248433e-13,0.904135026152982,9.1543488449636e-32
220,BACUNI_03139,0.852076143630793,5.17796030248433e-13,0.963377243579032,1.7951291318857198e-34
221,BACUNI_00721,0.917689787104013,5.33558424359204e-13,1.74386160253939,1.1547145107623602e-188
222,BACUNI_02403,-0.650923365789204,5.45644030797457e-13,-2.99837238240746,2.71646567762938e-206
223,BACUNI_03824,1.17057194236298,5.559535563444599e-13,1.87971813903459,2.85563456642969e-46
224,alaS,-0.642219494030115,5.90881970649926e-13,-2.65323020256389,3.7000358576152603e-298
225,BACUNI_04324,0.832588811095306,5.90881970649926e-13,0.894867621746143,7.53938027750172e-55
226,rplQ,-0.965433648866238,5.93635301849237e-13,-3.05578532037187,0.0
227,cysK,1.10042298854471,6.04990825363898e-13,1.12814293467324,3.8804134844925494e-55
228,BACUNI_00719,0.950482420850349,6.22143905640751e-13,1.00365703514956,2.81912291975615e-32
229,BACUNI_00039,0.863226965631078,6.265245014758269e-13,2.47298029038924,2.28047099730387e-81
230,BACUNI_03073,0.640703064093429,6.265245014758269e-13,1.64935032041828,1.21088384193408e-132
231,BACUNI_00882,0.919714282907272,6.45845924918286e-13,2.28216332564215,4.12873315225296e-165
232,BACUNI_03621,-0.685234762915631,6.4656280681464e-13,-2.60974742135057,1.03137212387789e-49
233,rsmG,0.719186438063854,6.46805385903044e-13,1.496764883058,2.2207817523523e-85
234,BACUNI_00109,1.09034942922237,6.46805385903044e-13,2.29318188207255,3.09200589767203e-65
235,BACUNI_01937,0.914036404514857,6.49751720874877e-13,1.42947420522373,7.06860477273698e-22
236,pyk,-0.703968855641321,6.77562125417633e-13,-2.08697350577666,8.79959497302506e-287
237,BACUNI_01817,-0.711128082398723,6.98081593090106e-13,-2.11830066695111,7.55483358389861e-233
238,rplM,-1.1480172153884,6.99372695322881e-13,-2.91374054088688,0.0
